"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"R-MMU-72203","Processing of Capped Intron-Containing Pre-mRNA","179/3969","259/8684",0.691119691119691,1.51213993390864,7.67694041452437,9.96615820695506e-15,1.13514541977218e-11,9.89272335700907e-12,"Cpsf6/Prpf4b/Cstf2/Aqr/Nxf1/Pabpn1/Polr2a/Chtop/Ddx39b/Rnpc3/Nup210/Snrnp70/Polr2e/U2surp/Cherp/Srrm2/Mettl3/Cpsf1/Snrnp200/Seh1l/Cpsf3/Sap18/Sf3b3/Casc3/Prpf8/Ddx46/Luc7l3/Rbmx/Puf60/Rbm39/Rbm10/Fyttd1/Srsf1/Snrpg/Wbp11/Ppil4/Polr2b/Rbm5/Sf3a3/Nup160/Xab2/U2af1l4/Sugp1/Pqbp1/Srsf5/Hnrnpa2b1/Zc3h11a/Pom121/Prpf19/Nkap/Prpf3/Srsf11/Rbm25/Snrnp48/Cdc5l/Hnrnpu/Rnps1/Aaas/Cpsf7/Snrnp40/Lsm6/Rae1/Prpf40a/Upf3b/Acin1/Srrm1/Nup153/Nup58/Cstf3/Pcf11/Tcerg1/Hnrnpa3/Srsf10/Snrpd2/Polr2h/Hnrnpa1/Dhx15/Rbm22/Wdr33/Ptbp1/Dhx16/Thoc1/Srrt/Gtf2f1/Hnrnph1/Leng1/Srsf2/Nudt21/Eftud2/Gle1/Htatsf1/Wtap/Cpsf2/Nup88/Nup35/Srsf7/Nup155/Ddx39a/Ranbp2/Nup98/Ddx41/Smndc1/Txnl4a/Gpkow/Fus/Nup85/Srsf3/Eif4a3/Cstf1/Fip1l1/Snrnp35/Nup214/Pnn/Cpsf4/Snrpe/Tpr/Sf3a1/Plrg1/Syf2/Mtrex/Polr2g/Prpf4/Ik/Snw1/Hnrnpf/Thoc2/Sf3b4/Slbp/Nup62/Tra2b/Nup37/Cstf2t/Snrpb/Sf3b2/Hnrnpr/Wbp4/Yju2/Hnrnpc/Polr2l/Poldip3/Cactin/Ctnnbl1/Lsm8/Nup133/Snrpa1/Snrpc/Nup107/Dhx38/Nup54/Nxt1/Hnrnpk/Cdc40/Snrpd3/Prpf6/Smu1/Ccdc12/Pcbp1/Snrnp25/Sde2/Bud31/Snrnp27/Hnrnpl/Ubl5/Lsm7/Snrpn/Sympk/Ppil3/Lsm4/Snu13/Ppil2/Isy1/Hspa8/U2af2/Bcas2/Steep1/Ppil1/Nup43/Papola/Zfp830",179
"R-MMU-6791226","Major pathway of rRNA processing in the nucleolus and cytosol","128/3969","176/8684",0.727272727272727,1.59124121028883,7.27012523479698,1.94318316007919e-13,5.5332140483255e-11,4.82216242093337e-11,"Rpl13a/Rpl22l1/Imp3/Rpl12/Wdr46/Rpl22/Rps24/Rpl18/Emg1/Wdr75/Rpl5/Nop56/Exosc8/Tex10/Rps13/Rps3/Xrn2/Rps27/Rps27rt/Rpl3/Rpl14/Wdr12/Utp25/Rpp14/Exosc4/Bop1/Rps18/Ddx52/Exosc10/Rpl9/Exosc5/Rps10/Rpl36/Rps15/Rpl32/Rps11/Pdcd11/Exosc7/Rpsa/Rpl36al/Rps25/Exosc1/Eri1/Rpl30/Utp11/Rps19/Rpl11/Fau/Rps4x/Wdr43/Rps17/Rps23/Rps6/Nol9/Rpl15/Isg20l2/Utp18/Ncl/Rpl29/Tsr1/Krr1/Bms1/Rps21/Rpl13/Ddx21/Rpl8/Rpl27a/Rpl36a/Rpl6/Nol11/Rps20/Rpl27/Rps7/Rpl4/Riok1/Gnl3/Rps14/Rps5/Mtrex/Pes1/Dcaf13/Rps16/Exosc2/Nob1/Riok2/Csnk1d/Rps28/Utp15/Rps26/Exosc6/Imp4/Pwp2/Utp6/Fbl/Ddx49/Rcl1/Rpl17/Rrp36/Rpl26/Csnk1e/Rpl34/Rpl34-ps1/Mphosph10/Rps15a/Bud23/Rpl35a/Rps3a1/Dis3/Nop58/Nol6/Ftsj3/Rps8/Wdr3/Heatr1/Rps27a/Nip7/Rpl37/Rpl37rt/Ltv1/Wdr36/Rpl23/Snu13/Rpl31/Fcf1/Rps27l/Senp3/Exosc3/Rpl23a",128
"R-MMU-72312","rRNA processing","128/3969","176/8684",0.727272727272727,1.59124121028883,7.27012523479698,1.94318316007919e-13,5.5332140483255e-11,4.82216242093337e-11,"Rpl13a/Rpl22l1/Imp3/Rpl12/Wdr46/Rpl22/Rps24/Rpl18/Emg1/Wdr75/Rpl5/Nop56/Exosc8/Tex10/Rps13/Rps3/Xrn2/Rps27/Rps27rt/Rpl3/Rpl14/Wdr12/Utp25/Rpp14/Exosc4/Bop1/Rps18/Ddx52/Exosc10/Rpl9/Exosc5/Rps10/Rpl36/Rps15/Rpl32/Rps11/Pdcd11/Exosc7/Rpsa/Rpl36al/Rps25/Exosc1/Eri1/Rpl30/Utp11/Rps19/Rpl11/Fau/Rps4x/Wdr43/Rps17/Rps23/Rps6/Nol9/Rpl15/Isg20l2/Utp18/Ncl/Rpl29/Tsr1/Krr1/Bms1/Rps21/Rpl13/Ddx21/Rpl8/Rpl27a/Rpl36a/Rpl6/Nol11/Rps20/Rpl27/Rps7/Rpl4/Riok1/Gnl3/Rps14/Rps5/Mtrex/Pes1/Dcaf13/Rps16/Exosc2/Nob1/Riok2/Csnk1d/Rps28/Utp15/Rps26/Exosc6/Imp4/Pwp2/Utp6/Fbl/Ddx49/Rcl1/Rpl17/Rrp36/Rpl26/Csnk1e/Rpl34/Rpl34-ps1/Mphosph10/Rps15a/Bud23/Rpl35a/Rps3a1/Dis3/Nop58/Nol6/Ftsj3/Rps8/Wdr3/Heatr1/Rps27a/Nip7/Rpl37/Rpl37rt/Ltv1/Wdr36/Rpl23/Snu13/Rpl31/Fcf1/Rps27l/Senp3/Exosc3/Rpl23a",128
"R-MMU-8868773","rRNA processing in the nucleus and cytosol","128/3969","176/8684",0.727272727272727,1.59124121028883,7.27012523479698,1.94318316007919e-13,5.5332140483255e-11,4.82216242093337e-11,"Rpl13a/Rpl22l1/Imp3/Rpl12/Wdr46/Rpl22/Rps24/Rpl18/Emg1/Wdr75/Rpl5/Nop56/Exosc8/Tex10/Rps13/Rps3/Xrn2/Rps27/Rps27rt/Rpl3/Rpl14/Wdr12/Utp25/Rpp14/Exosc4/Bop1/Rps18/Ddx52/Exosc10/Rpl9/Exosc5/Rps10/Rpl36/Rps15/Rpl32/Rps11/Pdcd11/Exosc7/Rpsa/Rpl36al/Rps25/Exosc1/Eri1/Rpl30/Utp11/Rps19/Rpl11/Fau/Rps4x/Wdr43/Rps17/Rps23/Rps6/Nol9/Rpl15/Isg20l2/Utp18/Ncl/Rpl29/Tsr1/Krr1/Bms1/Rps21/Rpl13/Ddx21/Rpl8/Rpl27a/Rpl36a/Rpl6/Nol11/Rps20/Rpl27/Rps7/Rpl4/Riok1/Gnl3/Rps14/Rps5/Mtrex/Pes1/Dcaf13/Rps16/Exosc2/Nob1/Riok2/Csnk1d/Rps28/Utp15/Rps26/Exosc6/Imp4/Pwp2/Utp6/Fbl/Ddx49/Rcl1/Rpl17/Rrp36/Rpl26/Csnk1e/Rpl34/Rpl34-ps1/Mphosph10/Rps15a/Bud23/Rpl35a/Rps3a1/Dis3/Nop58/Nol6/Ftsj3/Rps8/Wdr3/Heatr1/Rps27a/Nip7/Rpl37/Rpl37rt/Ltv1/Wdr36/Rpl23/Snu13/Rpl31/Fcf1/Rps27l/Senp3/Exosc3/Rpl23a",128
"R-MMU-72172","mRNA Splicing","127/3969","191/8684",0.664921465968586,1.45481935260045,5.83122311385199,3.92323826634496e-09,8.18796928558977e-07,7.13576547877746e-07,"Prpf4b/Aqr/Polr2a/Ddx39b/Rnpc3/Snrnp70/Polr2e/U2surp/Cherp/Srrm2/Snrnp200/Sap18/Sf3b3/Casc3/Prpf8/Ddx46/Luc7l3/Rbmx/Puf60/Rbm39/Rbm10/Srsf1/Snrpg/Wbp11/Ppil4/Polr2b/Rbm5/Sf3a3/Xab2/U2af1l4/Sugp1/Pqbp1/Srsf5/Hnrnpa2b1/Prpf19/Nkap/Prpf3/Srsf11/Rbm25/Snrnp48/Cdc5l/Hnrnpu/Rnps1/Snrnp40/Lsm6/Prpf40a/Upf3b/Acin1/Srrm1/Tcerg1/Hnrnpa3/Srsf10/Snrpd2/Polr2h/Hnrnpa1/Dhx15/Rbm22/Ptbp1/Dhx16/Srrt/Gtf2f1/Hnrnph1/Leng1/Srsf2/Eftud2/Htatsf1/Srsf7/Ddx41/Smndc1/Txnl4a/Gpkow/Fus/Srsf3/Eif4a3/Snrnp35/Pnn/Snrpe/Sf3a1/Plrg1/Syf2/Mtrex/Polr2g/Prpf4/Ik/Snw1/Hnrnpf/Sf3b4/Tra2b/Snrpb/Sf3b2/Hnrnpr/Wbp4/Yju2/Hnrnpc/Polr2l/Cactin/Ctnnbl1/Lsm8/Snrpa1/Snrpc/Dhx38/Hnrnpk/Cdc40/Snrpd3/Prpf6/Smu1/Ccdc12/Pcbp1/Snrnp25/Sde2/Bud31/Snrnp27/Hnrnpl/Ubl5/Lsm7/Snrpn/Ppil3/Lsm4/Snu13/Ppil2/Isy1/Hspa8/U2af2/Bcas2/Steep1/Ppil1/Zfp830",127
"R-MMU-72689","Formation of a pool of free 40S subunits","75/3969","101/8684",0.742574257425743,1.62472029515877,5.79377128601838,4.31324106352402e-09,8.18796928558977e-07,7.13576547877746e-07,"Rpl13a/Rpl22l1/Rpl12/Rpl22/Rps24/Rpl18/Eif3f/Rpl5/Rps13/Rps3/Rps27/Rps27rt/Rpl3/Rpl14/Eif3e/Rps18/Eif3g/Rpl9/Rps10/Rpl36/Rps15/Eif3m/Rpl32/Rps11/Rpsa/Rpl36al/Rps25/Eif3h/Rpl30/Eif3d/Rps19/Rpl11/Fau/Rps4x/Rps17/Rps23/Rps6/Rpl15/Rpl29/Rps21/Rpl13/Rpl8/Rpl27a/Rpl36a/Rpl6/Rps20/Rpl27/Rps7/Rpl4/Rps14/Rps5/Eif3i/Rps16/Eif3l/Rps28/Rps26/Eif1ax/Rpl17/Eif3c/Rpl26/Eif3a/Rpl34/Rpl34-ps1/Rps15a/Rpl35a/Rps3a1/Rps8/Rps27a/Rpl37/Rpl37rt/Eif3b/Rpl23/Rpl31/Rps27l/Rpl23a",75
"R-MMU-72163","mRNA Splicing - Major Pathway","123/3969","185/8684",0.664864864864865,1.45469551183837,5.7353142453006,6.96073774226297e-09,1.13261146977679e-06,9.87064013677291e-07,"Prpf4b/Aqr/Polr2a/Ddx39b/Snrnp70/Polr2e/U2surp/Cherp/Srrm2/Snrnp200/Sap18/Sf3b3/Casc3/Prpf8/Ddx46/Luc7l3/Rbmx/Puf60/Rbm39/Rbm10/Srsf1/Snrpg/Wbp11/Ppil4/Polr2b/Rbm5/Sf3a3/Xab2/U2af1l4/Sugp1/Pqbp1/Srsf5/Hnrnpa2b1/Prpf19/Nkap/Prpf3/Srsf11/Rbm25/Cdc5l/Hnrnpu/Rnps1/Snrnp40/Lsm6/Prpf40a/Upf3b/Acin1/Srrm1/Tcerg1/Hnrnpa3/Srsf10/Snrpd2/Polr2h/Hnrnpa1/Dhx15/Rbm22/Ptbp1/Dhx16/Srrt/Gtf2f1/Hnrnph1/Leng1/Srsf2/Eftud2/Htatsf1/Srsf7/Ddx41/Smndc1/Txnl4a/Gpkow/Fus/Srsf3/Eif4a3/Pnn/Snrpe/Sf3a1/Plrg1/Syf2/Mtrex/Polr2g/Prpf4/Ik/Snw1/Hnrnpf/Sf3b4/Tra2b/Snrpb/Sf3b2/Hnrnpr/Wbp4/Yju2/Hnrnpc/Polr2l/Cactin/Ctnnbl1/Lsm8/Snrpa1/Snrpc/Dhx38/Hnrnpk/Cdc40/Snrpd3/Prpf6/Smu1/Ccdc12/Pcbp1/Sde2/Bud31/Snrnp27/Hnrnpl/Ubl5/Lsm7/Snrpn/Ppil3/Lsm4/Snu13/Ppil2/Isy1/Hspa8/U2af2/Bcas2/Steep1/Ppil1/Zfp830",123
"R-MMU-72706","GTP hydrolysis and joining of the 60S ribosomal subunit","81/3969","112/8684",0.723214285714286,1.58236151603499,5.69108666945864,8.39054303065438e-09,1.19460356398942e-06,1.04108974709304e-06,"Rpl13a/Rpl22l1/Rpl12/Eif4a2/Rpl22/Rps24/Rpl18/Eif3f/Rpl5/Rps13/Rps3/Rps27/Rps27rt/Rpl3/Rpl14/Eif4b/Eif3e/Rps18/Eif3g/Rpl9/Rps10/Rpl36/Rps15/Eif3m/Rpl32/Rps11/Eif4g1/Rpsa/Rpl36al/Rps25/Eif3h/Rpl30/Eif3d/Rps19/Rpl11/Fau/Rps4x/Rps17/Rps23/Rps6/Rpl15/Rpl29/Rps21/Rpl13/Rpl8/Rpl27a/Rpl36a/Rpl6/Rps20/Rpl27/Rps7/Rpl4/Rps14/Rps5/Eif5/Eif3i/Rps16/Eif3l/Rps28/Rps26/Eif1ax/Rpl17/Eif3c/Eif2s3x/Rpl26/Eif3a/Rpl34/Rpl34-ps1/Rps15a/Rpl35a/Eif5b/Rps3a1/Rps8/Rps27a/Rpl37/Rpl37rt/Eif3b/Rpl23/Rpl31/Rps27l/Rpl23a",81
"R-MMU-3108214","SUMOylation of DNA damage response and repair proteins","56/3969","72/8684",0.777777777777778,1.70174407211444,5.48564364415809,2.44887354483889e-08,3.09918551952389e-06,2.7009213482843e-06,"Rpa1/Smc6/Bmi1/Ube2i/Cbx4/Nup210/Seh1l/Rnf2/Phc1/Nup160/Pias2/Hdac7/Pom121/Aaas/Rae1/Nsmce1/Pias1/Nup153/Nup58/Sumo1/Rad21/Stag1/Cetn2/Phc3/Pias4/Nup88/Nup35/Nup155/Ranbp2/Nup98/Sumo2/Herc2/Nup85/Pml/Nup214/Tpr/Nsmce4a/Nup62/Smc3/Nup37/Stag2/Nup133/Nup107/Nsmce3/Nup54/Mdc1/Cbx2/Ring1/Smc1a/Phc2/Rad52/Smc5/Cbx8/Brca1/Nup43/Tdg",56
"R-MMU-2990846","SUMOylation","108/3969","161/8684",0.670807453416149,1.46769763806144,5.49561717198487,2.79737060587898e-08,3.18620512009615e-06,2.7767584014146e-06,"Rpa1/Trp53bp1/Smc6/Trim27/Bmi1/Satb1/Ube2i/Cbx4/Nup210/Suz12/Seh1l/Hdac2/Rnf2/Sin3a/Sae1/Uba2/Phc1/Hdac1/Nup160/Top2b/Pias2/Nr1h3/Hdac7/Pom121/Aaas/Ddx17/Rae1/Nsmce1/Pias1/Park7/Nup153/Nup58/Senp1/Rangap1/Nfkbia/Rela/Sumo1/Rad21/Esr1/Stag1/Mbd1/Cdca8/Cetn2/Ctbp1/Npm1/Phc3/Pias4/Nup88/Nup35/Rxra/Nup155/Ranbp2/Nup98/Zfp131/Sumo2/Herc2/Nup85/Pml/Nup214/Tpr/Casp8ap2/Vhl/Mitf/Incenp/Rora/Nsmce4a/Senp5/Ppara/Rara/Nr3c1/Nup62/Dnmt1/Smc3/Nup37/Hnrnpc/Stag2/Nrip1/Nup133/Nup107/Nsmce3/Nup54/Mdc1/Hnrnpk/Mrtfa/Thra/Vdr/Tfap2c/Cbx2/Nr5a1/Ring1/Aurkb/Smc1a/Phc2/Nop58/Sp3/Rad52/Smc5/Topors/Pgr/Cbx8/Top1/Nfkb2/Nr5a2/Top2a/Brca1/Nup43/Tdg/Hdac4",108
